English;cleanedEnglish;Positiv;Negativ;Wut;Vorfreude;Ekel;Furcht;Freude;Traurigkeit;Ueberraschung;Vertrauen;;;;;;;;;;
verblüfft;verbluefft;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abakus;Abakus;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
aufgeben;aufgeben;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
verlassen;verlassen;0;1;1;0;0;1;0;1;0;0;;;;;;;;;;
Aufgabe;Aufgabe;0;1;1;0;0;1;0;1;1;0;;;;;;;;;;
nachlassen;nachlassen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Minderung;Minderung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abb;Abb;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abt;Abt;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;
abkürzen;abkuerzen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abkürzung;Abkuerzung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bauch Bauch;Bauch Bauch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Bauch;Bauch;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Entführung;Entfuehrung;0;1;0;0;0;1;0;1;1;0;;;;;;;;;;
abweichend;abweichend;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Abweichung;Abweichung;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Schwebezustand;Schwebezustand;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verabscheuen;verabscheuen;0;1;1;0;1;1;0;0;0;0;;;;;;;;;;
abscheulich;abscheulich;0;1;1;0;1;1;0;0;0;0;;;;;;;;;;
bleiben;bleiben;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Fähigkeit;Faehigkeit;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Objekt;Objekt;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
Abtragung;Abtragung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
in Flammen;in Flammen;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abnormal;abnormal;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;
an Bord;an Bord;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Aufenthalt;Aufenthalt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abschaffen;abschaffen;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;
Abschaffung;Abschaffung;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
abscheulich;abscheulich;0;1;0;0;1;1;0;0;0;0;;;;;;;;;;
Gräuel;Graeuel;0;1;1;0;1;1;0;0;0;0;;;;;;;;;;
Ureinwohner;Ureinwohner;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abbrechen;abbrechen;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Abbruch;Abbruch;0;1;0;0;1;1;0;1;0;0;;;;;;;;;;
abortiv;abortiv;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
reichlich;reichlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
oben erwähnt;oben erwaehnt;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abrieb;Abrieb;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
im Ausland;im Ausland;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
aufheben;aufheben;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
abrupt;abrupt;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;
plötzlich;ploetzlich;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abszess;Abszess;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Abwesenheit;Abwesenheit;0;1;0;0;0;1;0;1;0;0;;;;;;;;;;
abwesend;abwesend;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
abwesend;abwesend;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;
Fehlzeiten;Fehlzeiten;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;
Absinth;Absinth;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
absolut;absolut;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Absolution;Absolution;1;0;0;0;0;0;1;0;0;1;;;;;;;;;;
absorbiert;absorbiert;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
saugfähig;saugfaehig;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
absorbierend;absorbierend;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Absorption;Absorption;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
verzichten;verzichten;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Enthaltung;Enthaltung;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
Abstinenz;Abstinenz;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
abstrakt;abstrakt;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
