Englisch;Positiv;Negativ;Wut;Vorwegnahme;Der Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen
verblüfft;0;0;0;0;0;0;0;0;0;0
Abakus;0;0;0;0;0;0;0;0;0;1
aufgeben;0;1;0;0;0;1;0;1;0;0
verlassen;0;1;1;0;0;1;0;1;0;0
Aufgabe;0;1;1;0;0;1;0;1;1;0
nachlassen;0;0;0;0;0;0;0;0;0;0
Minderung;0;0;0;0;0;0;0;0;0;0
Abb;1;0;0;0;0;0;0;0;0;0
Abt;0;0;0;0;0;0;0;0;0;1
abkürzen;0;0;0;0;0;0;0;0;0;0
Abkürzung;0;0;0;0;0;0;0;0;0;0
Bauch Bauch;0;0;0;0;0;0;0;0;0;0
Bauch;0;0;0;0;0;0;0;0;0;0
Entführung;0;1;0;0;0;1;0;1;1;0
abweichend;0;1;0;0;0;0;0;0;0;0
Abweichung;0;1;0;0;1;0;0;0;0;0
Schwebezustand;0;0;0;0;0;0;0;0;0;0
verabscheuen;0;1;1;0;1;1;0;0;0;0
abscheulich;0;1;1;0;1;1;0;0;0;0
bleiben;0;0;0;0;0;0;0;0;0;0
Fähigkeit;1;0;0;0;0;0;0;0;0;0
Objekt;0;1;0;0;1;0;0;0;0;0
Abtragung;0;0;0;0;0;0;0;0;0;0
in Flammen;0;0;0;0;0;0;0;0;0;0
abnormal;0;1;0;0;1;0;0;0;0;0
an Bord;0;0;0;0;0;0;0;0;0;0
Aufenthalt;0;0;0;0;0;0;0;0;0;0
abschaffen;0;1;1;0;0;0;0;0;0;0
Abschaffung;0;1;0;0;0;0;0;0;0;0
abscheulich;0;1;0;0;1;1;0;0;0;0
Gräuel;0;1;1;0;1;1;0;0;0;0
Ureinwohner;0;0;0;0;0;0;0;0;0;0
abbrechen;0;1;0;0;0;0;0;0;0;0
Abbruch;0;1;0;0;1;1;0;1;0;0
abortiv;0;1;0;0;0;0;0;1;0;0
reichlich;0;0;0;0;0;0;0;0;0;0
oben erwähnt;1;0;0;0;0;0;0;0;0;0
Abrieb;0;1;0;0;0;0;0;0;0;0
im Ausland;0;0;0;0;0;0;0;0;0;0
aufheben;0;1;0;0;0;0;0;0;0;0
abrupt;0;0;0;0;0;0;0;0;1;0
plötzlich;0;0;0;0;0;0;0;0;0;0
Abszess;0;1;0;0;0;0;0;1;0;0
Abwesenheit;0;1;0;0;0;1;0;1;0;0
abwesend;0;1;0;0;0;0;0;1;0;0
abwesend;0;1;0;0;0;0;0;1;0;0
Fehlzeiten;0;1;0;0;0;0;0;0;0;0
Absinth;0;0;0;0;0;0;0;0;0;0
absolut;1;0;0;0;0;0;0;0;0;0
Absolution;1;0;0;0;0;0;1;0;0;1
absorbiert;1;0;0;0;0;0;0;0;0;0
saugfähig;0;0;0;0;0;0;0;0;0;0
absorbierend;0;0;0;0;0;0;0;0;0;0
Absorption;0;0;0;0;0;0;0;0;0;0
verzichten;0;0;0;0;0;0;0;0;0;0
Enthaltung;0;0;0;0;0;0;0;0;0;0
Abstinenz;0;0;0;0;0;0;0;0;0;0
abstrakt;0;0;0;0;0;0;0;0;0;0
Abstraktion;0;0;0;0;0;0;0;0;0;0
absurd;0;1;0;0;0;0;0;0;0;0
Absurdität;0;1;0;0;0;0;0;0;0;0
Fülle;1;1;0;1;1;0;1;0;0;1
reichlich;1;0;0;0;0;0;1;0;0;0
Missbrauch;0;1;1;0;1;1;0;1;0;0
Widerlager;0;0;0;0;0;0;0;0;0;0
ab;0;0;0;0;0;0;0;0;0;0
miserabel;0;1;0;0;0;0;0;1;0;0
Abgrund;0;1;0;0;0;1;0;1;0;0
akademisch;1;0;0;0;0;0;0;0;0;1
Akademie;1;0;0;0;0;0;0;0;0;0
beitreten;0;0;0;0;0;0;0;0;0;0
beschleunigen;0;0;0;1;0;0;0;0;0;0
Beschleunigung;0;0;0;0;0;0;0;0;0;0
Akzent;0;0;0;0;0;0;0;0;0;0
akzentuieren;0;0;0;0;0;0;0;0;0;0
annehmen;0;0;0;0;0;0;0;0;0;0
akzeptabel;1;0;0;0;0;0;0;0;0;0
Annahme;1;0;0;0;0;0;0;0;0;0
Zugang;0;0;0;0;0;0;0;0;0;0
zugänglich;1;0;0;0;0;0;0;0;0;0
Beitritt;0;0;0;0;0;0;0;0;0;0
Zubehörteil;0;0;0;0;0;0;0;0;0;0
Unfall;0;1;0;0;0;1;0;1;1;0
zufällig;0;1;0;0;0;1;0;0;1;0
versehentlich;0;0;0;0;0;0;0;0;1;0
Akkolade;1;0;0;1;0;0;1;0;1;1
unterbringen;0;0;0;0;0;0;0;0;0;0
Unterkunft;1;0;0;0;0;0;0;0;0;0
Begleitung;1;0;0;1;0;0;1;0;0;1
begleiten;0;0;0;0;0;0;0;0;0;0
Begleitet;0;0;0;0;0;0;0;0;0;0
der Mitschuldige;0;0;0;0;0;0;0;0;0;0
erreichen;1;0;0;0;0;0;1;0;0;0
vollendet;1;0;0;0;0;0;1;0;0;0
Leistung;1;0;0;0;0;0;0;0;0;0
Übereinstimmung;1;0;0;0;0;0;0;0;0;1
